"",Matrix::rowSums(assay(gast_cds))
LOC117693020,1
LOC109621113,3
LOC117687066,0
LOC117689737,2
LOC117687025,2
LOC105333279,4
LOC105321471,1
LOC105321472,63
LOC117687070,1
LOC117689460,3
LOC105344774,3
LOC105326952,0
LOC117690921,3
LOC117690907,0
LOC117687074,6
LOC117682936,20
LOC105336148,183
LOC105346550,2508
LOC105321192,4
LOC117684466,7
LOC117684471,95
LOC117684472,0
LOC105333180,355
LOC105321195,292
LOC105321194,3036
LOC105321205,0
LOC105321193,12327
LOC105321197,62099
LOC105321199,1709
LOC105321198,23755
LOC105321201,12
LOC105321202,10
LOC105321203,79
LOC105328747,982
LOC105328746,6259
LOC105328744,4340
LOC105328743,5700
LOC105328742,865
LOC105328741,2880
LOC109619976,5947
LOC105337994,164
LOC105328736,3848
LOC105338004,4
LOC117684582,1
LOC117684581,8
LOC117684579,4
LOC117684584,28
LOC105333579,3
LOC109620526,3
LOC117684587,0
LOC105342798,2
LOC105320538,37
LOC105320528,2723
LOC105320530,9390
LOC105320526,207
LOC105328197,1
LOC109618754,3
LOC117684695,0
LOC105318169,11206
Trnas-aga,0
Trnas-aga_1,0
Trnas-aga_2,0
LOC105318171,1077
LOC105318173,133
LOC105318172,26
LOC105318174,2235
LOC105318175,6102
LOC105318177,3048
LOC105324046,0
LOC117684712,1
LOC117684723,1
LOC117680420,0
LOC105318178,0
LOC105318179,16
LOC117684724,1
LOC117684720,0
LOC117684719,1
LOC117684715,15
LOC117684721,45
LOC109619554,6
LOC105329536,3249
LOC105329535,18464
LOC105329534,5001
LOC117684746,17762
LOC105329532,8725
LOC105329531,901
LOC105329529,0
LOC105327371,4
LOC105327353,3
LOC105324352,26
LOC105327356,0
LOC109618651,29
LOC117680533,1
LOC117692528,545
LOC117680523,0
LOC105327355,4468
LOC105327359,40
LOC105327358,197
LOC105327360,4046
LOC105327361,60567
LOC105327363,211
LOC105321409,12
LOC117692559,0
LOC105345083,0
LOC105345084,197
LOC105347024,116
LOC117681699,6
LOC105327365,17409
LOC105319881,577
LOC117681707,39
LOC105319882,3932
LOC105319883,515
LOC105319884,2555
LOC109617580,5
LOC105319885,118
LOC117681709,7
LOC117681711,74
LOC105319886,8
