"",Matrix::rowSums(assay(gast_cds))
LOC105319888,0
LOC105319890,2
LOC117690023,0
LOC105342315,89
LOC109618002,0
LOC117687129,0
LOC105336600,0
LOC105335912,1
LOC105336594,0
LOC117684936,1
LOC105335931,67
LOC105335914,212
LOC105337473,0
LOC117687134,0
LOC105348645,8
LOC117683566,2
LOC117683687,928
LOC117680453,1
LOC117683639,4
LOC117683649,8
LOC105337358,682
LOC117683688,829
LOC117683616,2
LOC105337393,5
LOC109619877,27
LOC117683699,679
LOC117683701,2
LOC117683678,41
LOC105337365,3242
LOC105327168,2
LOC117687137,0
LOC105327195,1027
LOC117683731,1
LOC105326744,3
LOC105326746,0
LOC117680455,114
LOC105337361,3242
LOC105337360,191
LOC117683736,4
LOC117683607,3
LOC117683745,0
LOC117683600,30
LOC117683719,6
LOC105337362,340
LOC105337363,0
LOC117683663,29
LOC117680428,6704
LOC105337368,4644
LOC105337367,1139
LOC105337369,4435
LOC109618958,0
LOC105342725,439
LOC105337370,72
LOC105337371,67389
LOC105337373,492
LOC105337374,31910
LOC105337394,276
LOC105337375,8539
LOC105337376,1152
LOC105337377,21899
LOC105337379,11036
LOC105324274,7083
LOC105331846,4653
LOC105331845,9444
LOC105331844,5313
LOC105323503,43637
LOC105331842,54384
LOC105331841,1238
LOC109619196,11
LOC105331840,123
LOC109619190,0
LOC105331839,39
LOC105331837,38
LOC105331854,140
LOC117687154,20
LOC105341168,6
LOC117687155,0
LOC117682707,7
LOC105338364,174
LOC105338363,9
LOC105338361,79
LOC105338360,11533
LOC105338369,135
LOC105338359,4270
LOC105338358,4574
LOC105338357,1779
LOC105338356,999
LOC105338354,599
LOC105338355,67
LOC105338353,22921
LOC117682784,32
LOC105326415,2285
LOC105326414,454
LOC105326417,352
LOC105326416,191
LOC109617077,526
LOC105326418,59813
LOC117687163,1
LOC117682815,28784
LOC105326419,23446
LOC105326420,51
LOC105326424,33
LOC105326423,127
LOC105326425,6
LOC105326426,4297
LOC117682867,4
LOC105326427,4100
LOC105326456,3907
LOC105326429,2559
LOC105326430,1357
LOC105326431,3576
LOC105326432,22154
LOC105326457,67
LOC105337119,1
LOC105326433,5667
LOC105326435,27
LOC105326436,217
LOC105326437,57
LOC105326439,4588
LOC105326440,199
LOC105320483,27
LOC109619795,2
LOC105340021,14346
LOC105340020,16
LOC105340019,14
LOC117691994,203
LOC105340018,7766
LOC117692288,2590
LOC105347997,0
LOC105347995,19
LOC105347993,0
LOC117683895,20
LOC117687083,1
LOC105331616,10
LOC105347990,0
LOC109621168,0
LOC117680311,297
LOC105323257,13577
LOC105323256,11
LOC105323255,75961
LOC105323254,104334
LOC105323253,134
LOC109618019,29
LOC105323251,6652
LOC105323250,639
LOC117680481,11022
LOC105323249,94
LOC105323248,14539
LOC105323247,1422
LOC105323246,126
LOC109618020,27
LOC105323245,117
LOC105323244,577
LOC109619489,938
LOC105323243,34
LOC105323242,141
LOC105323241,51
LOC105323240,10
LOC105323239,9
LOC117682288,222
LOC105323290,29
LOC105323235,43
LOC105323233,2084
LOC105323234,5207
LOC105323232,11580
LOC105323229,1787
LOC117682364,10
LOC105323227,19453
LOC105323226,161931
LOC105323225,4281
LOC105323223,2744
LOC117682404,1
LOC117682392,0
LOC117682405,1658
LOC105323221,2185
LOC105323220,9932
LOC105323219,19389
LOC105323217,5721
LOC105323216,275
LOC105323215,32
LOC117682470,4
LOC117682472,646
LOC117682469,33
LOC105323214,126
LOC105323213,49
LOC105323212,2
LOC109617943,1
LOC105335743,279
LOC117684829,42
LOC117687183,14
LOC109620475,17
LOC109620474,5
LOC105342485,33
LOC105345080,53
LOC105342484,498
LOC105342483,4
LOC105342481,3
LOC117684855,25
LOC117684858,76
LOC105322226,1486
LOC105345571,5
LOC105319020,533
LOC117680370,23431
LOC105319012,2069
LOC105319272,15
LOC105319006,2951
LOC105318987,358
LOC105318976,4965
LOC105318939,4115
LOC105318930,413
LOC105318923,45023
LOC105319267,1421
LOC105318875,7496
LOC105318868,38
LOC105318860,2450
LOC105318849,23
LOC105318841,108
LOC105318825,2730
LOC109617424,4
LOC117684897,8
LOC109620184,0
LOC109618744,26
LOC105346926,1
LOC117684907,0
LOC117684908,0
LOC117687192,0
LOC105342026,9600
LOC117690252,20
LOC105342027,3287
LOC109620420,26
LOC105342022,39348
LOC105342021,675
LOC105342020,10014
LOC105342019,1933
LOC105342018,171
LOC105342017,181
LOC105342016,69
LOC105342014,54691
LOC105342013,12727
LOC105342012,536
LOC105340508,11
LOC105340509,54
LOC109620264,18550
LOC105340512,91293
LOC105340513,48494
LOC105340515,145
LOC117687203,27398
LOC105340516,246
LOC105340518,3800
LOC105340523,394
LOC105340522,2008
LOC105340521,48151
LOC105340524,2360
LOC105340525,2022
LOC117691716,138
LOC105340526,2784
LOC117680419,649
LOC105340527,991
LOC117692139,0
LOC105331897,0
LOC109617279,7
LOC105317484,13
LOC109617282,82
LOC105317485,174
LOC105317487,29
LOC105327170,0
LOC117692541,1
LOC105317489,2157
LOC105317491,835
LOC105317492,24319
LOC105317493,17
LOC105317494,9
LOC117692724,0
LOC105317495,26
LOC105317496,10014
LOC105317497,5170
LOC105317498,121
LOC105317501,431
LOC105317500,832
LOC105317502,33275
LOC105317504,181
LOC105317526,74
LOC109617655,2
LOC105317505,61861
LOC105317506,89059
LOC105317507,4254
LOC105345332,4495
LOC105345358,7352
LOC105345333,2684
LOC105345334,9
LOC105345335,92
LOC105345336,2867
LOC105345337,1362
LOC105329330,4650
LOC109618879,114
LOC105329332,13
LOC105329329,1076
LOC117680771,0
LOC105329328,577
LOC105329326,3039
LOC105329325,1080
LOC105324474,34
LOC105324473,69
LOC105324472,10732
LOC105339389,12
LOC105339388,928
LOC109617286,16
LOC105317558,225
LOC105317560,1472
LOC105317561,7123
LOC105317562,160
LOC105317566,127
LOC117681262,4
LOC117687209,0
LOC117687218,0
LOC105331442,13
LOC105331435,194
LOC105328178,6
LOC105320451,13
LOC117687229,0
LOC117687238,2
LOC117692829,136
LOC105344537,1
LOC105341790,480
LOC105341780,154
LOC105341764,4630
LOC117692849,0
LOC105341732,11
LOC117692853,45
LOC105341723,1781
LOC117692851,374
LOC105341957,191
LOC105317911,8671
LOC105317914,1273
LOC105318684,0
LOC105317913,10595
LOC109617331,11
LOC105317915,13158
LOC105317917,3575
LOC105319127,96
LOC105319126,37
LOC117692889,105
LOC105319125,13372
LOC105319124,4614
LOC105319122,11967
LOC105319121,22588
LOC105340437,307
LOC105334741,43
LOC105340438,709
LOC105340439,973
LOC117680600,23
LOC105331858,97
LOC117687251,0
LOC117692906,4
LOC105331871,342
LOC105331862,116
LOC105331863,51
LOC105331864,158
LOC105331865,71
LOC105331866,43
LOC117692910,516
LOC105331867,665
LOC117692915,323
LOC105331868,222
LOC105331869,1672
LOC105335381,3676
LOC105335380,26
LOC117692931,59
LOC105321384,38
LOC105320115,4744
LOC105320117,290222
Trnag-gcc,0
LOC105325160,5
LOC105325159,47
LOC105325157,5
LOC105325156,2796
LOC105325155,4738
LOC105325152,2844
LOC105325151,16
LOC105325150,8
LOC105325149,28
LOC105325148,25149
LOC105325147,7
LOC105325146,21
LOC105325144,49
LOC105325143,16
LOC117692969,311
LOC105325142,1544
LOC105325141,1542
LOC105325140,2825
LOC105325138,8635
LOC105325137,46
LOC105325136,100
LOC117693005,97
LOC105346076,0
LOC105346074,0
LOC117693008,0
LOC105346073,108
LOC105346072,0
LOC117693018,0
LOC105348681,0
LOC105348677,28
LOC105348676,472
LOC105348673,120
LOC105348672,8
LOC105348670,0
LOC117692561,57
LOC105345806,0
LOC105348667,0
LOC105348666,30
LOC117692562,7
LOC105348665,0
LOC117692565,0
LOC105348663,2
LOC109617159,115
LOC105348662,0
LOC117692568,102
LOC105348661,2
LOC105348660,152
LOC105348659,2400
LOC105348658,1947
LOC105342443,1865
LOC105342445,757
LOC105342444,630
LOC105342446,3178
LOC105342447,42268
LOC105342449,133
LOC105342450,10295
LOC105342451,203
LOC105342452,10
LOC105342453,28
LOC105342476,26
LOC105342454,8
LOC105342455,57
LOC105342456,1821
LOC117692619,178
LOC117692626,5
LOC117692614,14
LOC117692616,14
LOC105342457,2200
LOC105342458,140
LOC105342459,152
LOC105342461,7431
LOC105342462,1651
LOC105342477,7236
LOC105342359,6748
LOC105342463,265321
LOC105342478,1444
LOC105333454,3200
LOC105333451,3582
LOC105333455,315
LOC109619415,17
LOC105333456,3303
LOC105333492,70
LOC117692687,31
LOC105333458,418
LOC105333459,205
LOC105333460,7308
LOC117687267,76
LOC117692701,15
LOC117692702,0
LOC105317347,33110
LOC105317339,1682
LOC105317338,23637
LOC105317335,86
LOC105317337,755
LOC117692715,11
LOC117680416,25
LOC117692721,2
LOC105329895,19
LOC105329896,40
LOC105329897,4876
LOC105329900,13
LOC105329898,50
LOC105333209,18
LOC105333185,385
LOC105333186,45
LOC105333189,2379
LOC105333188,1016
LOC105333187,213
LOC105333190,638
LOC105333192,398
LOC105333191,335
LOC105333193,12
LOC117690902,5
LOC117693025,1
LOC117690076,0
LOC105333210,2005
LOC105333195,389
LOC105333196,410
LOC105333198,2536
LOC117690883,5
LOC105333199,30
LOC105333200,16
LOC117683174,6
LOC117683199,11
LOC117687285,1
LOC105347033,70
LOC105347032,19950
LOC105347031,5431
LOC105347030,9127
LOC105347029,34752
LOC105347028,69
LOC105347026,1873
LOC105347025,26
LOC109621074,184
LOC117683256,1737
LOC117680308,0
LOC117683272,6
LOC117683276,21
LOC117683280,0
LOC117683284,7978
LOC105324136,1625
LOC105324420,2466
LOC105345759,354
LOC105345761,2437
LOC105345760,803
LOC105345762,14
LOC105345764,10376
LOC105345763,2156
LOC105345765,1285
LOC105341485,2090
LOC105341486,20786
LOC105341487,3002
LOC105341489,4
LOC105341490,2
LOC117683411,1
LOC117683410,8
LOC105341512,370
LOC105341492,86
LOC105341511,2437
LOC105341493,45950
LOC105341494,28429
LOC105341496,210
LOC109620374,1
LOC109620373,0
LOC105341497,3563
LOC105341498,1631
LOC105341499,3541
LOC105341500,3322
LOC105321645,109
LOC105321664,5306
LOC105326861,19743
LOC105326859,63
LOC105326860,1678
LOC105326858,7425
LOC105326856,43128
LOC109618582,21
LOC105326855,293
LOC117683520,0
LOC105334988,5
LOC105334987,18
LOC105334986,15
LOC105334989,61
LOC105334990,11366
LOC105334991,2767
LOC105334992,1385
LOC105334932,7
LOC105334929,14
LOC117687306,36
LOC105334937,14
LOC105334955,5813
LOC105334966,1489
Trnas-aga_3,0
LOC105335377,156
LOC105334984,12447
LOC105334993,6541
LOC105335019,105964
LOC105335035,6791
LOC105335162,50080
LOC105335176,351
LOC105335192,66
LOC105335200,1342
LOC105335206,16
LOC117682581,1
LOC105335219,6
LOC105335229,222
LOC105335382,130
LOC105335250,1
LOC105335259,4
LOC105335295,322
LOC105335286,0
LOC105335268,28
LOC105335389,1365
LOC105335319,160
LOC105335329,149
LOC105335339,8657
LOC117682625,260
LOC105322395,912
LOC105322396,44166
LOC105322397,32
LOC105322398,1958
LOC105322399,4
LOC105347567,249
LOC105322401,6
LOC117682685,0
LOC105331727,37
LOC105331728,878
LOC105331730,23
LOC105331731,1135
LOC105331734,98
LOC105343510,1760
LOC117687309,4
LOC105343441,755
LOC105343446,1
LOC105343440,4
LOC105343439,87
LOC105343445,351
LOC109620611,239
LOC105343438,308
LOC109617405,353
LOC117685481,27
LOC117684766,26
LOC105341380,2
LOC105341381,1
LOC105341382,2
LOC105341383,0
LOC105341384,0
LOC105341385,1
LOC105341387,36
LOC105341388,19723
LOC105341389,35615
LOC105324545,1211
LOC105324546,23805
LOC105324547,3641
LOC105324549,3054
LOC105341398,28977
LOC105341391,7788
LOC117687313,4
LOC105341392,7519
LOC105341395,12698
LOC105341394,1739
LOC105341396,943
LOC105341397,279
LOC105333309,20
LOC105333312,5660
Trnap-cgg,0
LOC105333311,53628
LOC105333313,32143
LOC117688192,0
LOC105333314,36
LOC105333315,93
LOC105333990,352
LOC105333988,61
LOC105333989,54837
LOC105319021,20310
LOC105319022,1616
LOC105319023,21713
LOC105319024,2837
LOC105319039,155
LOC105319026,4449
LOC105319027,2023
LOC105319028,2023
LOC105319029,6399
LOC105319030,11
LOC105319033,5291
LOC105319032,2245
LOC105319031,3495
LOC105319036,12752
LOC105319035,1633
LOC109617462,31
LOC105338349,4528
LOC105338351,25535
LOC105348582,4999
LOC105348583,24842
LOC105348584,133
LOC105348587,1433
LOC105348588,132
LOC105348590,11478
LOC105348591,4182
LOC105343468,48
LOC117689512,1
LOC105343467,141
LOC105343466,514
LOC105343465,19
LOC105343464,3
LOC117688212,9
LOC105319227,3343
LOC105319226,38
LOC105319225,7537
LOC117689520,663
LOC105322393,4
LOC105327784,1506
LOC105327783,3925
LOC105327782,2445
LOC105327781,8202
LOC105327779,3282
LOC105327778,44962
LOC105338034,80
LOC105338035,149630
LOC105327777,15134
LOC105327776,3578
LOC105327775,17628
LOC117689638,3741
LOC105327772,10389
LOC105322786,5
LOC109617956,35
LOC117689666,1
LOC105319440,8183
LOC105322766,633
LOC117689697,2
LOC105322767,4025
LOC105322768,70
LOC105322769,32891
LOC105323728,1
LOC117689706,19
LOC105322770,1136
LOC105322772,5
LOC105328321,43242
LOC105328322,5543
LOC117689736,5
LOC117689778,0
LOC117689757,0
LOC117689745,11
LOC105328325,0
LOC117689775,0
LOC117680456,0
LOC105328327,1
LOC117689749,10
LOC117689754,0
LOC117689779,0
LOC117689741,154
LOC117689747,303
LOC117689748,152
LOC105328323,2
LOC117689758,0
LOC105328324,8
LOC117689767,3
LOC105328328,1
LOC117689761,0
LOC105328330,2
LOC105328329,0
LOC109618773,0
LOC105346146,518
LOC117680946,911
LOC105346115,945
LOC105346107,336
LOC105340208,7
LOC109617036,10
LOC105346581,381
LOC105346580,167
LOC105346577,3054
LOC105346576,24457
LOC117689809,3356
LOC105324981,3884
LOC105324982,5750
LOC105324983,208
LOC105324984,941
LOC105324985,31084
LOC117689815,8
LOC105325952,10346
LOC105325949,100
LOC117689830,0
LOC105325951,7509
LOC105325948,26976
LOC105325947,109950
LOC105325946,17851
LOC105325945,3
LOC105325944,388
LOC105325942,879
LOC105325941,2051
LOC105325940,1628
LOC105341411,239
LOC105341412,75296
LOC105341413,1130
LOC105346210,3
LOC117689845,1
LOC117689850,1
LOC105346209,88
LOC117689855,0
LOC105346207,3926
LOC105346206,4218
LOC105346204,7811
LOC105346203,1726
LOC105319564,95
LOC105319553,8679
LOC105319552,12800
LOC117686691,0
LOC117680292,1440
LOC109617542,5
LOC105319549,13
LOC105319563,710
LOC105319548,20110
LOC109617543,4646
LOC105319546,1415
LOC105319547,137
LOC117689892,1
LOC105319545,4
LOC117689893,1
LOC105319544,10
LOC117689895,1
LOC105319542,16692
LOC105319541,7471
LOC105319540,94
LOC105319539,107
LOC105332283,133
LOC105332282,155183
LOC105332281,248
LOC105332280,1578
LOC105332279,1893
LOC105332278,6278
LOC117689908,114
LOC105344953,14
LOC117689909,1
LOC105344954,97
LOC117689938,3470
LOC105344955,11336
LOC105344957,13475
LOC105344958,3
LOC105344961,30
LOC105344962,7332
LOC105344963,43
LOC105344970,133
LOC105344965,330
LOC105343672,1
LOC117689982,1
LOC105338092,0
LOC105343599,115
LOC117689990,0
LOC109621029,161
LOC105338091,0
LOC105338090,381
LOC105338088,750
LOC105338089,4679
LOC105338087,14494
LOC105338085,125588
LOC105338084,61
LOC105338083,63
LOC105338082,1464
LOC105338081,22894
LOC105318288,5321
LOC105318287,125495
LOC105318289,31011
LOC105318291,6893
LOC117690071,58
LOC105318293,10375
LOC105318294,37305
LOC105318295,1347
LOC117680391,1843
LOC105318307,1
LOC117687358,0
LOC117690073,1533
LOC105318298,742
LOC105318309,106
LOC109617380,65614
LOC105318299,13296
LOC105318300,760
LOC105318301,59775
LOC105318310,3487
LOC105321327,25
LOC105349158,416
LOC105321329,53859
LOC105337506,5514
LOC117690113,0
LOC117690123,2
LOC117690133,2
LOC117690121,355
LOC117687381,76
LOC105324604,3
LOC105324605,9
LOC105324611,811
LOC105325404,2060
LOC105325407,8817
LOC105337075,6375
LOC105337053,14
LOC105337051,32
LOC117690191,0
LOC105326847,9
LOC105326841,4
LOC105326842,32
LOC117690195,10
LOC105324062,50
LOC105324063,1
LOC105337823,230
LOC105326844,864
LOC105326850,3642
LOC105326845,19717
LOC105326846,84
LOC117690215,0
LOC117687383,6
LOC117690218,0
LOC105325447,18
LOC105325267,186
LOC105325446,4
LOC105325444,14475
LOC105325443,1856
LOC117690285,87
LOC117690286,6
LOC117690288,0
LOC105325442,2248
LOC105317200,1
LOC117690304,2
LOC109618389,2
LOC117690300,181
LOC117690299,2583
LOC105325441,17
LOC105325440,1
LOC105348016,1
LOC117690305,1
LOC105334179,16
LOC105338504,4
LOC105346846,187
LOC105346920,127
LOC105346986,12571
LOC105348710,2528
LOC105348706,1393
LOC105348705,290
LOC105348704,9765
LOC105348703,2787
LOC105348702,23250
LOC105349010,11320
LOC105349011,60
LOC117690356,0
LOC105336270,17373
LOC105336281,1
LOC117690364,14
LOC105336366,5
LOC117690369,0
LOC105336344,0
LOC105336345,0
LOC105336367,18
LOC105336346,142
LOC117690371,16
LOC105336368,595
LOC105326602,33
LOC105326588,174
LOC105326593,7
LOC105326592,7
LOC105326590,354
LOC105326594,8
LOC117687416,0
LOC105326595,7910
LOC105326596,3473
LOC105326598,2823
LOC105318076,32572
LOC105318077,271
LOC117680412,4546
LOC105318079,5223
LOC105318081,502
LOC105318085,1143
LOC105318082,87
LOC105318083,7725
LOC105345569,37596
LOC105345568,402
LOC105345567,80214
LOC105320064,2441
LOC105317293,847
LOC105317292,31
LOC117680309,45
LOC105317296,1
LOC105317298,128
LOC105317299,45
LOC109617256,1297
LOC105317301,1739
LOC117690563,3275
LOC105317300,169
LOC105317302,24
LOC117690590,1
LOC105317303,22
LOC105338615,99
LOC105337569,1
LOC117690611,5
LOC117681019,0
LOC117681033,0
LOC105338943,3
LOC105338944,0
LOC105338946,2165
LOC105338947,2210
LOC105338949,3968
LOC105338950,24908
LOC105338963,654
LOC105338951,3006
LOC105338965,4294
LOC105338952,26018
LOC105338953,34
LOC105338955,3148
LOC105338956,661
LOC105338957,694214
LOC105338958,660113
LOC105338959,841
LOC117681129,387
LOC105347941,1406
LOC105347942,45
LOC105347943,320
LOC105347944,3069
LOC105347945,8975
LOC105347946,10
LOC105347985,540
LOC105347947,7
LOC105347948,43222
LOC105347949,14
LOC105347950,3157
LOC105347951,2500
LOC109621163,35
LOC105347952,656
LOC105347953,4857
LOC109618248,1
LOC105339516,0
LOC105339491,0
LOC117681181,1
LOC105339492,4
LOC105339493,2
LOC105339494,7
LOC117681210,1
LOC105339496,55
LOC105325527,3934
LOC105325519,67768
LOC105325518,2109
LOC105325514,124
LOC105325515,259
LOC105337617,22781
LOC117681267,33
LOC105319590,22
LOC105319589,82
LOC105319588,2870
LOC105330579,1032
LOC105330578,478
LOC105330577,6738
LOC105330575,4945
LOC105330574,5445
LOC105330585,1269
LOC105326555,255883
LOC117687437,2
LOC105326399,94395
LOC105323966,1644
LOC105322620,0
LOC105322621,0
LOC105322622,0
LOC105322623,2
LOC105336421,64
LOC105322624,0
LOC117681295,10
LOC117681296,0
LOC105322627,111
LOC105335916,78
LOC105325602,76
LOC105317918,128
LOC117681302,4
LOC117681304,17
LOC117681307,5
LOC105330235,2
LOC105330780,0
LOC117681312,1
LOC105330234,6389
LOC105330233,792
LOC105330249,1
LOC105330232,44
LOC109618989,13150
LOC105330231,18107
LOC105330230,2268
LOC105330248,3115
LOC105330227,27784
LOC105330226,253
LOC105330225,52053
LOC105330224,6276
LOC105330223,23520
LOC105330246,175
LOC105330222,4043
LOC105330220,0
LOC109617963,11
LOC109617964,0
LOC105343098,1
LOC105347137,4
LOC109620571,0
LOC109621077,0
LOC117681353,7
LOC117681357,1
LOC105334541,0
LOC105339411,2999
LOC105339405,25
LOC117680402,5
LOC105329538,3091
LOC105344247,9
LOC105329539,391
LOC105329781,55
LOC117681383,8
LOC117681384,8
LOC105329537,14
LOC117681382,1514
LOC117681380,560
LOC105329540,390
LOC105329541,4
LOC105329555,196
LOC105329543,2
LOC105329556,14
LOC105329544,1877
LOC105329545,458
LOC105329546,5734
LOC105322290,98
LOC105322289,76
LOC105322288,153
LOC105335336,96
LOC117687451,226
LOC117687452,3
LOC117687454,8
LOC117687456,1
LOC117681399,50
LOC105322285,60477
LOC117681403,20
LOC117687460,6
LOC105322297,1519
LOC105339993,3077
LOC105339971,1808
LOC105339970,21432
LOC105339972,796
LOC105339973,16
LOC109620190,3
LOC105339974,43
LOC117690967,195
LOC105339975,72
LOC105339976,974
LOC105339977,36993
LOC105339978,136
LOC109618884,376
LOC105339994,2745
LOC105339979,25684
LOC105319529,6733
LOC105319528,13887
LOC105335371,68
LOC105335370,56
LOC105317291,125
LOC105339272,456
LOC105339269,1245
LOC105330253,1173
LOC105330254,16581
LOC105324929,14355
LOC105324928,16855
LOC105324927,29309
LOC117691068,9
LOC117680665,2
LOC105324925,37
LOC105324073,130674
LOC105335787,5191
LOC105335925,464
LOC117691086,0
LOC105336357,5651
LOC105336107,67
LOC105336984,4274
LOC105338256,430
LOC105337229,133
LOC109617257,17
LOC105337309,3367
LOC105337392,44108
LOC105337449,650
LOC105337540,69243
LOC117686704,5
LOC117686700,9
LOC117686694,69
LOC117686696,0
LOC117686699,0
LOC117686703,11
LOC105320834,14075
LOC105320833,102110
LOC105337732,33
LOC105337817,170
LOC105337900,5842
LOC105337987,919
LOC105320830,3006
LOC105320829,3134
LOC105320828,3616
LOC105338515,2
LOC105341823,20
LOC105337103,1
LOC105332631,13
LOC105332629,2213
LOC105332616,13
LOC105332614,132
LOC117691285,2
LOC105332610,2946
LOC105332609,16027
LOC105332613,8
LOC105332628,7232
LOC117691301,7
LOC105332627,172
LOC105332607,172
LOC105332626,55
LOC105332606,19214
LOC109619285,3
LOC105332605,0
LOC105332604,22
LOC117691319,0
LOC105332603,50935
LOC105332602,442
LOC105332600,1
LOC105332601,769
LOC105332598,8132
LOC105332597,7968
LOC105337109,704
LOC105337097,20308
LOC105337096,8757
LOC105337095,811
LOC105337094,29
LOC105337108,694
LOC105337107,453
LOC105337093,26
LOC105337092,26423
LOC105322755,12
LOC105337090,321
LOC117691390,292
Trnat-ggu,70
LOC105337089,18768
LOC109619325,9
LOC117691430,3
LOC105332995,3001
LOC105323880,4530
LOC117691434,59
LOC109618147,35
LOC117691458,15
LOC117691449,11
LOC105346396,12
LOC105338181,1445
LOC105346397,8899
LOC105338185,7966
LOC105338186,6453
LOC105338187,24589
LOC105337104,93
LOC105333156,317
LOC105333153,84190
LOC105329496,19
LOC105333152,1326
LOC105333151,1574
LOC117691551,5015
Trnaw-cca,0
LOC105331094,12020
LOC105331095,185
LOC105331097,694
LOC117691575,1
LOC105331096,30
LOC105331098,10
LOC105331099,668
LOC105319366,72
LOC105339363,92
LOC117687486,1
LOC105321875,6559
LOC105321876,13156
LOC105331613,19871
LOC105319365,1808
LOC105319364,141331
LOC105319362,427
LOC105319361,1336
LOC105319360,3518
LOC105319359,937702
LOC105319358,22
LOC109617555,6
LOC105326938,1456
LOC105326956,5
LOC105326955,16081
LOC105343398,7678
LOC105343396,25430
LOC105343394,6079
Trnaq-uug,0
LOC105343393,667
LOC105343392,17604
LOC105343391,8646
LOC105343388,19314
LOC105343387,1806
LOC105343386,9281
LOC105322687,5469
LOC105322688,19
LOC105322689,37
LOC105322690,5106
LOC105322691,1432
LOC105322692,4552
LOC105323619,3895
LOC105324082,18508
LOC105323979,1869
LOC105340367,17
LOC105323777,2020
LOC105324168,538
LOC105324266,7140
LOC105324425,4405
LOC105324627,147259
LOC105324763,45
LOC105324845,2903
LOC105325081,211
LOC105325011,3376
LOC105325205,4364
LOC105325282,2734
LOC105325364,96
LOC117691925,26
LOC117691918,8271
LOC117691929,12
LOC117687497,1
LOC105342831,16
LOC105342822,2499
LOC105342823,301
LOC105342826,420
LOC105331848,43
LOC117687506,180
LOC105342828,26979
LOC117691970,110
LOC105342832,15532
LOC105324584,2184
LOC109618597,0
LOC109617388,3
LOC105333485,1343
LOC105321968,906
LOC105321987,11100
LOC117692038,33
LOC109617829,6
LOC105322006,11634
LOC105322022,362
LOC105322035,2377
LOC105322044,15504
LOC105322053,3568
LOC105326080,24
LOC117692091,0
LOC117687508,1
Trnas-gcu,0
LOC105322104,10
LOC105337782,695
LOC117692110,151
LOC109619537,14
LOC117692118,2
LOC117692127,16
LOC117684953,4
LOC117684956,0
LOC105322041,0
LOC117684957,0
LOC105325029,1
LOC105325030,1
LOC117680307,2
LOC117693029,7
LOC117689461,5
LOC117682473,8
LOC117693032,0
LOC105333983,2
LOC117693033,0
LOC117693034,0
LOC117688201,145
LOC105335326,3694
LOC117683889,97
LOC105346525,16
LOC105322283,28
LOC105345430,2948
LOC105328078,2
LOC105327711,174
LOC117692787,1
LOC117688247,0
LOC105337787,5611
LOC105339428,3916
LOC105317322,16480
LOC105317307,952
LOC109620407,1
LOC105341879,7816
LOC105330144,284
LOC117689470,2
LOC105343704,25
LOC109619486,2
LOC105336513,18
LOC105335003,34
LOC105335004,1700
LOC105340227,8458
LOC105337115,83365
LOC105347222,474
LOC105325092,117
LOC105347221,7821
LOC105336972,15675
LOC117689487,49
LOC105337450,3784
LOC105337400,1474
Trnam-cau,0
LOC105340044,970
LOC117684658,2
LOC105340003,175
LOC117684934,1285
LOC105340045,1556
LOC105340004,10820
LOC105340006,1463
LOC105340008,11850
