"",Matrix::rowSums(assay(CPbla_cds))
LOC105317492,4032
LOC105317493,10
LOC105317494,3
LOC117692724,0
LOC105317495,10
LOC105317496,13126
LOC105317497,1465
LOC105317498,17104
LOC105317501,135
LOC105317500,164
LOC105317502,4967
LOC105317504,132
LOC105317526,13
LOC109617655,11
LOC105317505,16630
LOC105317506,15170
LOC105317507,135
LOC105345332,775
LOC105345358,752
LOC105345333,282
LOC105345334,3
LOC105345335,5
LOC105345336,431
LOC105345337,974
LOC105329330,670
LOC109618879,0
LOC105329332,32
LOC105329329,6924
LOC117680771,0
LOC105329328,10
LOC105329326,488
LOC105329325,515
LOC105324474,3
LOC105324473,123
LOC105324472,1471
LOC105339389,1
LOC105339388,10
LOC109617286,3
LOC105317558,0
LOC105317560,497
LOC105317561,5
LOC105317562,24
LOC105317566,6
LOC117681262,2
LOC117687209,0
LOC117687218,0
LOC105331442,4
LOC105331435,20
LOC105328178,6
LOC105320451,1
LOC117687229,0
LOC117687238,0
LOC117692829,161
LOC105344537,5
LOC105341790,199
LOC105341780,70
LOC105341764,15712
LOC117692849,2
LOC105341732,10
LOC117692853,29
LOC105341723,674
LOC117692851,309
LOC105341957,93
LOC105317911,6471
LOC105317914,388
LOC105318684,0
LOC105317913,2394
LOC109617331,4040
LOC105317915,1069
LOC105317917,1
LOC105319127,40
LOC105319126,0
LOC117692889,0
LOC105319125,10113
LOC105319124,1321
LOC105319122,8899
LOC105319121,2844
LOC105340437,57
LOC105334741,7
LOC105340438,75
LOC105340439,170
LOC117680600,6
LOC105331858,3
LOC117687251,2
LOC117692906,2
LOC105331871,2
LOC105331862,13
LOC105331863,18
LOC105331864,85
LOC105331865,7
LOC105331866,7
LOC117692910,4
LOC105331867,9
LOC117692915,16
LOC105331868,191
LOC105331869,5545
LOC105335381,120
LOC105335380,45
LOC117692931,84
LOC105321384,10
LOC105320115,716
LOC105320117,88313
Trnag-gcc,0
LOC105325160,0
LOC105325159,9
LOC105325157,4
LOC105325156,96
LOC105325155,3980
LOC105325152,502
LOC105325151,22
LOC105325150,7
LOC105325149,1
LOC105325148,2672
LOC105325147,3
LOC105325146,9
LOC105325144,1
LOC105325143,6
LOC117692969,59
LOC105325142,8
LOC105325141,5
LOC105325140,1115
LOC105325138,5148
LOC105325137,5070
LOC105325136,8
LOC117693005,3
LOC105346076,0
LOC105346074,1
LOC117693008,3
LOC105346073,0
LOC105346072,0
LOC117693018,0
LOC105348681,0
LOC105348677,1
LOC105348676,31
LOC105348673,0
LOC105348672,1
LOC105348670,0
LOC117692561,0
LOC105345806,0
LOC105348667,0
LOC105348666,3
LOC117692562,1
LOC105348665,32
LOC117692565,0
LOC105348663,0
LOC109617159,9
LOC105348662,0
LOC117692568,1
LOC105348661,0
LOC105348660,3
LOC105348659,335
LOC105348658,346
LOC105342443,287
LOC105342445,115
LOC105342444,4
LOC105342446,441
LOC105342447,22057
LOC105342449,137
LOC105342450,2788
LOC105342451,138
LOC105342452,2
LOC105342453,62
LOC105342476,20
LOC105342454,2
LOC105342455,44
LOC105342456,382
LOC117692619,49
LOC117692626,3
LOC117692614,5
LOC117692616,0
LOC105342457,347
LOC105342458,14
LOC105342459,80
LOC105342461,2304
LOC105342462,218
LOC105342477,2991
LOC105342359,58
LOC105342463,14470
LOC105342478,577
LOC105333454,469
LOC105333451,715
LOC105333455,8
LOC109619415,1
LOC105333456,841
LOC105333492,13
LOC117692687,10
LOC105333458,47
LOC105333459,5
LOC105333460,1512
LOC117687267,3
LOC117692701,2
LOC117692702,0
LOC105317347,13140
LOC105317339,640
LOC105317338,10282
LOC105317335,12
LOC105317337,2369
LOC117692715,0
LOC117680416,0
LOC117692721,2
LOC105329895,0
LOC105329896,7
LOC105329897,848
LOC105329900,91
LOC105329898,121
LOC105333209,7
LOC105333185,12
LOC105333186,5
LOC105333189,13239
LOC105333188,283
LOC105333187,50
LOC105333190,609
LOC105333192,124
LOC105333191,135
LOC105333193,1
LOC117690902,0
LOC117693025,0
LOC117690076,0
LOC105333210,2311
LOC105333195,45
LOC105333196,160
LOC105333198,1071
LOC117690883,18
LOC105333199,1
LOC105333200,19
LOC117683174,40
LOC117683199,10
LOC117687285,3
LOC105347033,534
LOC105347032,4444
LOC105347031,3854
LOC105347030,4054
LOC105347029,35448
LOC105347028,13
LOC105347026,300
LOC105347025,3
LOC109621074,43
LOC117683256,6086
LOC117680308,0
LOC117683272,3
LOC117683276,0
LOC117683280,0
LOC117683284,1
LOC105324136,0
LOC105324420,0
LOC105345759,4
LOC105345761,139
LOC105345760,93
LOC105345762,4
LOC105345764,19338
LOC105345763,1322
LOC105345765,2486
LOC105341485,1231
LOC105341486,3678
LOC105341487,6514
LOC105341489,0
LOC105341490,0
LOC117683411,0
LOC117683410,0
LOC105341512,40
LOC105341492,19
LOC105341511,486
LOC105341493,9379
LOC105341494,13672
LOC105341496,10
LOC109620374,0
LOC109620373,0
LOC105341497,374
LOC105341498,2378
LOC105341499,4631
LOC105341500,94
LOC105321645,14
LOC105321664,1218
LOC105326861,4061
LOC105326859,13
LOC105326860,2190
LOC105326858,1211
LOC105326856,112
LOC109618582,17
LOC105326855,524
LOC117683520,2
LOC105334988,14
LOC105334987,1
LOC105334986,2
LOC105334989,4
LOC105334990,1712
LOC105334991,48
LOC105334992,9400
LOC105334932,4
LOC105334929,0
LOC117687306,7
LOC105334937,237
LOC105334955,787
LOC105334966,434
Trnas-aga_3,0
LOC105335377,410
LOC105334984,23625
LOC105334993,987
LOC105335019,33069
LOC105335035,766
LOC105335162,4330
LOC105335176,14
LOC105335192,215
LOC105335200,498
LOC105335206,18
LOC117682581,24
LOC105335219,13
LOC105335229,15
LOC105335382,1
LOC105335250,0
LOC105335259,0
LOC105335295,10
LOC105335286,0
LOC105335268,13
LOC105335389,1198
LOC105335319,895
LOC105335329,28
LOC105335339,8887
LOC117682625,42
LOC105322395,818
LOC105322396,2868
LOC105322397,106
LOC105322398,1785
LOC105322399,3
LOC105347567,32
LOC105322401,17
LOC117682685,1
LOC105331727,132
LOC105331728,2924
LOC105331730,1
LOC105331731,254
LOC105331734,3
LOC105343510,23
LOC117687309,1
LOC105343441,109
LOC105343446,14
LOC105343440,2
LOC105343439,5
LOC105343445,2
LOC109620611,13
LOC105343438,0
LOC109617405,145
LOC117685481,6
LOC117684766,1
LOC105341380,1
LOC105341381,0
LOC105341382,0
LOC105341383,0
LOC105341384,0
LOC105341385,6
LOC105341387,9
LOC105341388,3329
LOC105341389,3177
LOC105324545,1656
LOC105324546,8024
LOC105324547,261
LOC105324549,371
LOC105341398,18403
LOC105341391,13323
LOC117687313,0
LOC105341392,1799
LOC105341395,5094
LOC105341394,14883
LOC105341396,446
LOC105341397,15
LOC105333309,0
LOC105333312,945
Trnap-cgg,0
LOC105333311,6593
LOC105333313,2962
LOC117688192,1
LOC105333314,14
LOC105333315,151
LOC105333990,91
LOC105333988,21
LOC105333989,3851
LOC105319021,5171
LOC105319022,939
LOC105319023,6501
LOC105319024,539
LOC105319039,110
LOC105319026,7015
LOC105319027,473
LOC105319028,1042
LOC105319029,3341
LOC105319030,3
LOC105319033,716
LOC105319032,1141
LOC105319031,628
LOC105319036,3671
LOC105319035,704
LOC109617462,14
LOC105338349,5470
LOC105338351,10362
LOC105348582,648
LOC105348583,9698
LOC105348584,51
LOC105348587,741
LOC105348588,18
LOC105348590,4915
LOC105348591,23093
LOC105343468,11
LOC117689512,0
LOC105343467,6116
LOC105343466,6
LOC105343465,0
LOC105343464,0
LOC117688212,0
LOC105319227,464
LOC105319226,0
LOC105319225,3259
LOC117689520,505
LOC105322393,2
LOC105327784,22
LOC105327783,717
LOC105327782,113
LOC105327781,17
LOC105327779,1419
LOC105327778,2521
LOC105338034,7
LOC105338035,24236
LOC105327777,17333
LOC105327776,156
LOC105327775,3340
LOC117689638,3779
LOC105327772,8090
LOC105322786,0
LOC109617956,23
LOC117689666,3
LOC105319440,3555
LOC105322766,109
LOC117689697,0
LOC105322767,674
LOC105322768,6
LOC105322769,1790
LOC105323728,0
LOC117689706,35
LOC105322770,202
LOC105322772,1
LOC105328321,14200
LOC105328322,3369
LOC117689736,26
LOC117689778,0
LOC117689757,0
LOC117689745,2
LOC105328325,23
LOC117689775,0
LOC117680456,0
LOC105328327,0
LOC117689749,2
LOC117689754,0
LOC117689779,0
LOC117689741,53
LOC117689747,102
LOC117689748,24
LOC105328323,1
LOC117689758,0
LOC105328324,17
LOC117689767,7
LOC105328328,0
LOC117689761,0
LOC105328330,0
LOC105328329,1
LOC109618773,0
LOC105346146,310
LOC117680946,113
LOC105346115,131
LOC105346107,60
LOC105340208,22
LOC109617036,44
LOC105346581,98
LOC105346580,881
LOC105346577,6
LOC105346576,6781
LOC117689809,194
LOC105324981,93
LOC105324982,1298
LOC105324983,31
LOC105324984,43
LOC105324985,14723
LOC117689815,3
LOC105325952,4204
LOC105325949,24
LOC117689830,0
LOC105325951,234
LOC105325948,8871
LOC105325947,11119
LOC105325946,3234
LOC105325945,0
LOC105325944,12
LOC105325942,573
LOC105325941,462
LOC105325940,337
LOC105341411,5
LOC105341412,6504
LOC105341413,125
LOC105346210,1
LOC117689845,0
LOC117689850,6
LOC105346209,49
LOC117689855,1
LOC105346207,582
LOC105346206,1019
LOC105346204,1417
LOC105346203,1028
LOC105319564,10
LOC105319553,3968
LOC105319552,4359
LOC117686691,0
LOC117680292,541
LOC109617542,0
LOC105319549,14
LOC105319563,534
LOC105319548,89
LOC109617543,9
LOC105319546,1213
LOC105319547,113
LOC117689892,0
LOC105319545,2
LOC117689893,0
LOC105319544,1
LOC117689895,0
LOC105319542,6012
LOC105319541,773
LOC105319540,4
LOC105319539,2
LOC105332283,24
LOC105332282,38311
LOC105332281,14
LOC105332280,25
LOC105332279,136
LOC105332278,319
LOC117689908,274
LOC105344953,1
LOC117689909,0
LOC105344954,57
LOC117689938,5360
LOC105344955,10687
LOC105344957,8274
LOC105344958,13
LOC105344961,6
LOC105344962,6875
LOC105344963,0
LOC105344970,4
LOC105344965,8
LOC105343672,0
LOC117689982,0
LOC105338092,0
LOC105343599,28
LOC117689990,0
LOC109621029,28
LOC105338091,0
LOC105338090,14
LOC105338088,66
LOC105338089,526
LOC105338087,2366
LOC105338085,18609
LOC105338084,36
LOC105338083,6
LOC105338082,398
LOC105338081,26457
LOC105318288,3697
LOC105318287,10006
LOC105318289,39161
LOC105318291,1834
LOC117690071,35
LOC105318293,9028
LOC105318294,11703
LOC105318295,11
LOC117680391,179
LOC105318307,0
LOC117687358,0
LOC117690073,174
LOC105318298,296
LOC105318309,27
LOC109617380,8476
LOC105318299,8026
LOC105318300,326
LOC105318301,23961
LOC105318310,2744
LOC105321327,4
LOC105349158,118
LOC105321329,4305
LOC105337506,2968
LOC117690113,1
LOC117690123,6
LOC117690133,1
LOC117690121,259
LOC117687381,59
LOC105324604,12
LOC105324605,7
LOC105324611,332
LOC105325404,641
LOC105325407,1091
LOC105337075,3221
LOC105337053,21
LOC105337051,7
LOC117690191,2
LOC105326847,24
LOC105326841,0
LOC105326842,8
LOC117690195,4
LOC105324062,19
LOC105324063,2
LOC105337823,1
LOC105326844,83
LOC105326850,959
LOC105326845,6982
LOC105326846,41
LOC117690215,0
LOC117687383,0
LOC117690218,1
LOC105325447,8
LOC105325267,19
LOC105325446,5
LOC105325444,2099
LOC105325443,147
LOC117690285,2
LOC117690286,15
LOC117690288,1
LOC105325442,1295
LOC105317200,4
LOC117690304,0
LOC109618389,24
LOC117690300,63
LOC117690299,228
LOC105325441,7
LOC105325440,1
LOC105348016,1
LOC117690305,2
LOC105334179,3
LOC105338504,0
LOC105346846,9
LOC105346920,457
LOC105346986,74
LOC105348710,521
LOC105348706,415
LOC105348705,39
LOC105348704,6439
LOC105348703,3585
LOC105348702,3701
LOC105349010,620
LOC105349011,4
LOC117690356,0
LOC105336270,6980
LOC105336281,1
LOC117690364,0
LOC105336366,4
LOC117690369,0
LOC105336344,0
LOC105336345,1
LOC105336367,1
LOC105336346,35
LOC117690371,10
LOC105336368,37
LOC105326602,49
LOC105326588,3
LOC105326593,0
LOC105326592,1
LOC105326590,18
LOC105326594,5
LOC117687416,0
LOC105326595,1909
LOC105326596,2999
LOC105326598,330
LOC105318076,5835
LOC105318077,151
LOC117680412,3219
LOC105318079,810
LOC105318081,1758
LOC105318085,389
LOC105318082,114
LOC105318083,1844
LOC105345569,8504
LOC105345568,167
LOC105345567,5795
LOC105320064,551
LOC105317293,1449
LOC105317292,2
LOC117680309,0
LOC105317296,1
LOC105317298,3
LOC105317299,5
LOC109617256,0
LOC105317301,13
LOC117690563,1303
LOC105317300,87
LOC105317302,12
LOC117690590,0
LOC105317303,3
LOC105338615,0
LOC105337569,8
LOC117690611,2
LOC117681019,0
LOC117681033,1
LOC105338943,0
LOC105338944,1
LOC105338946,172
LOC105338947,1078
LOC105338949,577
LOC105338950,5899
LOC105338963,221
LOC105338951,751
LOC105338965,689
LOC105338952,3640
LOC105338953,3
LOC105338955,445
LOC105338956,232
LOC105338957,135600
LOC105338958,32445
LOC105338959,173
LOC117681129,168
LOC105347941,157
LOC105347942,18
LOC105347943,18
LOC105347944,4014
LOC105347945,9777
LOC105347946,56
LOC105347985,23
LOC105347947,5
LOC105347948,9007
LOC105347949,9
LOC105347950,682
LOC105347951,177
LOC109621163,6
LOC105347952,210
LOC105347953,2308
LOC109618248,0
LOC105339516,0
LOC105339491,0
LOC117681181,2
LOC105339492,6
LOC105339493,14
LOC105339494,5
LOC117681210,4
LOC105339496,28
LOC105325527,11493
LOC105325519,3521
LOC105325518,8
LOC105325514,2
LOC105325515,42
LOC105337617,1904
LOC117681267,9
LOC105319590,52
LOC105319589,765
LOC105319588,703
LOC105330579,199
LOC105330578,90
LOC105330577,771
LOC105330575,1708
LOC105330574,4687
LOC105330585,391
LOC105326555,57377
LOC117687437,1
LOC105326399,22921
LOC105323966,578
LOC105322620,0
LOC105322621,0
LOC105322622,0
LOC105322623,0
LOC105336421,92
LOC105322624,0
LOC117681295,1
LOC117681296,0
LOC105322627,0
LOC105335916,0
LOC105325602,0
LOC105317918,35
LOC117681302,5
LOC117681304,1
LOC117681307,5
LOC105330235,0
LOC105330780,0
LOC117681312,0
LOC105330234,504
LOC105330233,1276
LOC105330249,25
LOC105330232,107
LOC109618989,4045
LOC105330231,13601
LOC105330230,313
LOC105330248,801
LOC105330227,2197
LOC105330226,95
LOC105330225,4249
LOC105330224,8020
LOC105330223,3829
LOC105330246,25
LOC105330222,530
LOC105330220,1
LOC109617963,6
LOC109617964,0
LOC105343098,6
LOC105347137,11
LOC109620571,1
LOC109621077,1
LOC117681353,1
LOC117681357,0
LOC105334541,0
LOC105339411,19
LOC105339405,14
LOC117680402,28
LOC105329538,2817
LOC105344247,12
LOC105329539,613
LOC105329781,4
LOC117681383,3
LOC117681384,3
LOC105329537,7
LOC117681382,1307
LOC117681380,476
LOC105329540,156
LOC105329541,5
LOC105329555,172
LOC105329543,1
LOC105329556,1
LOC105329544,117
LOC105329545,8
LOC105329546,1741
LOC105322290,14
LOC105322289,45
LOC105322288,50
LOC105335336,36
LOC117687451,27
LOC117687452,0
LOC117687454,0
LOC117687456,0
LOC117681399,12
LOC105322285,49751
LOC117681403,11
LOC117687460,7
LOC105322297,852
LOC105339993,481
LOC105339971,404
LOC105339970,1136
LOC105339972,270
LOC105339973,24
LOC109620190,37
LOC105339974,66
LOC117690967,210
LOC105339975,1208
LOC105339976,10
LOC105339977,31
LOC105339978,6
LOC109618884,227
LOC105339994,2793
LOC105339979,5382
LOC105319529,9766
LOC105319528,9797
LOC105335371,3
LOC105335370,5
LOC105317291,145
LOC105339272,8
LOC105339269,479
LOC105330253,1789
LOC105330254,19740
LOC105324929,6882
LOC105324928,16660
LOC105324927,900
LOC117691068,3
LOC117680665,0
LOC105324925,86
LOC105324073,16419
LOC105335787,2074
LOC105335925,22
LOC117691086,0
LOC105336357,2934
LOC105336107,18
LOC105336984,1351
LOC105338256,10
LOC105337229,12
LOC109617257,1
LOC105337309,1092
LOC105337392,8233
LOC105337449,1137
LOC105337540,8529
LOC117686704,4
LOC117686700,4
LOC117686694,20
LOC117686696,0
LOC117686699,1
LOC117686703,4
LOC105320834,326
LOC105320833,13328
LOC105337732,34
LOC105337817,67
LOC105337900,1947
LOC105337987,238
LOC105320830,3644
LOC105320829,437
LOC105320828,1388
LOC105338515,0
LOC105341823,4
LOC105337103,0
LOC105332631,0
LOC105332629,448
LOC105332616,11
LOC105332614,3
LOC117691285,2
LOC105332610,403
LOC105332609,70
LOC105332613,4
LOC105332628,2870
LOC117691301,0
LOC105332627,110
LOC105332607,10
LOC105332626,54
LOC105332606,11322
LOC109619285,0
LOC105332605,0
LOC105332604,35
LOC117691319,0
LOC105332603,3601
LOC105332602,79
LOC105332600,0
LOC105332601,59
LOC105332598,2689
LOC105332597,1928
LOC105337109,315
LOC105337097,17533
LOC105337096,5991
LOC105337095,122
LOC105337094,2
LOC105337108,290
LOC105337107,51
LOC105337093,23
LOC105337092,6511
LOC105322755,6
LOC105337090,90
LOC117691390,208
Trnat-ggu,0
LOC105337089,1933
LOC109619325,7
LOC117691430,0
LOC105332995,533
LOC105323880,2801
LOC117691434,44
LOC109618147,71
LOC117691458,5
LOC117691449,5
LOC105346396,2
LOC105338181,10266
LOC105346397,1383
LOC105338185,1825
LOC105338186,2691
LOC105338187,3083
LOC105337104,2
LOC105333156,648
LOC105333153,63899
LOC105329496,11
LOC105333152,730
LOC105333151,234
LOC117691551,323
Trnaw-cca,0
LOC105331094,15768
LOC105331095,21
LOC105331097,16
LOC117691575,1
LOC105331096,7
LOC105331098,4
LOC105331099,149
LOC105319366,39
LOC105339363,132
LOC117687486,1
LOC105321875,9503
LOC105321876,1983
LOC105331613,9841
LOC105319365,542
LOC105319364,11932
LOC105319362,1012
LOC105319361,357
LOC105319360,1863
LOC105319359,198135
LOC105319358,25
LOC109617555,29
LOC105326938,34
LOC105326956,16
LOC105326955,1652
LOC105343398,6115
LOC105343396,2100
LOC105343394,4066
Trnaq-uug,0
LOC105343393,31
LOC105343392,3465
LOC105343391,2951
LOC105343388,17574
LOC105343387,1011
LOC105343386,1453
LOC105322687,4449
LOC105322688,3
LOC105322689,35
LOC105322690,754
LOC105322691,491
LOC105322692,771
LOC105323619,428
LOC105324082,2732
LOC105323979,376
LOC105340367,4
LOC105323777,458
LOC105324168,100
LOC105324266,930
LOC105324425,3320
LOC105324627,22112
LOC105324763,4
LOC105324845,142
LOC105325081,3
LOC105325011,3923
LOC105325205,986
LOC105325282,17
LOC105325364,126
LOC117691925,20
LOC117691918,9288
LOC117691929,7
LOC117687497,0
LOC105342831,7
LOC105342822,1110
LOC105342823,7
LOC105342826,54
LOC105331848,151
LOC117687506,6
LOC105342828,12281
LOC117691970,7
LOC105342832,2810
LOC105324584,28
LOC109618597,0
LOC109617388,7
LOC105333485,462
LOC105321968,6
LOC105321987,3605
LOC117692038,54
LOC109617829,4
LOC105322006,790
LOC105322022,93
LOC105322035,755
LOC105322044,5929
LOC105322053,2568
LOC105326080,10
LOC117692091,0
LOC117687508,1
Trnas-gcu,0
LOC105322104,6
LOC105337782,937
LOC117692110,275
LOC109619537,3
LOC117692118,0
LOC117692127,2
LOC117684953,1
LOC117684956,1
LOC105322041,1
LOC117684957,1
LOC105325029,66
LOC105325030,48
LOC117680307,2
LOC117693029,2
LOC117689461,1
LOC117682473,4
LOC117693032,5
LOC105333983,5
LOC117693033,2
LOC117693034,0
LOC117688201,10
LOC105335326,2155
LOC117683889,9
LOC105346525,3
LOC105322283,8
LOC105345430,754
LOC105328078,1
LOC105327711,194
LOC117692787,1
LOC117688247,0
LOC105337787,626
LOC105339428,883
LOC105317322,11840
LOC105317307,673
LOC109620407,0
LOC105341879,6096
LOC105330144,256
LOC117689470,1
LOC105343704,5
LOC109619486,0
LOC105336513,4
LOC105335003,25
LOC105335004,640
LOC105340227,3279
LOC105337115,9338
LOC105347222,228
LOC105325092,69
LOC105347221,3002
LOC105336972,7857
LOC117689487,22
LOC105337450,6871
LOC105337400,637
Trnam-cau,0
LOC105340044,295
LOC117684658,2
LOC105340003,113
LOC117684934,1161
LOC105340045,624
LOC105340004,2010
LOC105340006,1020
LOC105340008,2552
LOC105333214,14
LOC117683953,2
LOC105333215,385
LOC105333217,19
LOC105323395,0
LOC117683960,2
LOC105333219,1
LOC105333221,7
LOC105333220,16251
LOC105333222,1127
LOC105333224,2575
LOC105333225,7917
LOC105325161,12627
LOC105325162,77
LOC105325164,2557
LOC105325166,0
LOC105325208,15
Perlucin,1
LOC109619288,0
LOC105346056,33721
LOC105346054,1730
