"",Matrix::rowSums(assay(CPbla_cds))
LOC117693020,32
LOC109621113,3
LOC117687066,0
LOC117689737,17
LOC117687025,0
LOC105333279,2
LOC105321471,0
LOC105321472,1
LOC117687070,0
LOC117689460,0
LOC105344774,0
LOC105326952,0
LOC117690921,0
LOC117690907,0
LOC117687074,22
LOC117682936,0
LOC105336148,123
LOC105346550,1049
LOC105321192,0
LOC117684466,1
LOC117684471,2
LOC117684472,3
LOC105333180,41
LOC105321195,87
LOC105321194,2839
LOC105321205,0
LOC105321193,1853
LOC105321197,13107
LOC105321199,619
LOC105321198,12946
LOC105321201,4
LOC105321202,1
LOC105321203,7
LOC105328747,19
LOC105328746,3829
LOC105328744,1583
LOC105328743,144
LOC105328742,67
LOC105328741,392
LOC109619976,19
LOC105337994,104
LOC105328736,768
LOC105338004,2
LOC117684582,0
LOC117684581,4
LOC117684579,1
LOC117684584,1
LOC105333579,4
LOC109620526,0
LOC117684587,0
LOC105342798,2
LOC105320538,19
LOC105320528,409
LOC105320530,5710
LOC105320526,71
LOC105328197,0
LOC109618754,0
LOC117684695,1
LOC105318169,249
Trnas-aga,0
Trnas-aga_1,0
Trnas-aga_2,0
LOC105318171,31
LOC105318173,111
LOC105318172,95
LOC105318174,165
LOC105318175,864
LOC105318177,810
LOC105324046,0
LOC117684712,4
LOC117684723,0
LOC117680420,18
LOC105318178,10
LOC105318179,0
LOC117684724,0
LOC117684720,0
LOC117684719,0
LOC117684715,1
LOC117684721,0
LOC109619554,4
LOC105329536,1914
LOC105329535,2120
LOC105329534,2784
LOC117684746,21389
LOC105329532,6174
LOC105329531,375
LOC105329529,1
LOC105327371,1
LOC105327353,0
LOC105324352,3
LOC105327356,0
LOC109618651,5
LOC117680533,4
LOC117692528,330
LOC117680523,0
LOC105327355,1280
LOC105327359,4
LOC105327358,262
LOC105327360,59
LOC105327361,9957
LOC105327363,52
LOC105321409,0
LOC117692559,0
LOC105345083,0
LOC105345084,1713
LOC105347024,9
LOC117681699,0
LOC105327365,29438
LOC105319881,175
LOC117681707,53
LOC105319882,1643
LOC105319883,254
LOC105319884,1194
LOC109617580,1
LOC105319885,121
LOC117681709,3
LOC117681711,8
LOC105319886,1
LOC105319888,1
LOC105319890,4
LOC117690023,0
LOC105342315,28
LOC109618002,0
LOC117687129,2
LOC105336600,0
LOC105335912,0
LOC105336594,0
LOC117684936,0
LOC105335931,2
LOC105335914,10
LOC105337473,0
LOC117687134,0
LOC105348645,11
LOC117683566,10
LOC117683687,675
LOC117680453,0
LOC117683639,0
LOC117683649,0
LOC105337358,401
LOC117683688,35
LOC117683616,0
LOC105337393,0
LOC109619877,7
LOC117683699,271
LOC117683701,3
LOC117683678,56
LOC105337365,1572
LOC105327168,22
LOC117687137,0
LOC105327195,1000
LOC117683731,0
LOC105326744,1
LOC105326746,13
LOC117680455,1169
LOC105337361,370
LOC105337360,64
LOC117683736,5
LOC117683607,0
LOC117683745,0
LOC117683600,1
LOC117683719,3
LOC105337362,314
LOC105337363,5
LOC117683663,186
LOC117680428,4171
LOC105337368,442
LOC105337367,95
LOC105337369,1532
LOC109618958,19
LOC105342725,371
LOC105337370,152
LOC105337371,28545
LOC105337373,165
LOC105337374,21561
LOC105337394,27
LOC105337375,576
LOC105337376,2369
LOC105337377,33075
LOC105337379,2921
LOC105324274,24
LOC105331846,393
LOC105331845,1492
LOC105331844,60
LOC105323503,16852
LOC105331842,54703
LOC105331841,1363
LOC109619196,1
LOC105331840,0
LOC109619190,0
LOC105331839,29
LOC105331837,1
LOC105331854,2
LOC117687154,0
LOC105341168,0
LOC117687155,0
LOC117682707,1
LOC105338364,3
LOC105338363,2
LOC105338361,14
LOC105338360,3177
LOC105338369,93
LOC105338359,6816
LOC105338358,828
LOC105338357,1285
LOC105338356,149
LOC105338354,14
LOC105338355,12
LOC105338353,11371
LOC117682784,44
LOC105326415,755
LOC105326414,37
LOC105326417,32
LOC105326416,176
LOC109617077,731
LOC105326418,4875
LOC117687163,271
LOC117682815,2630
LOC105326419,9966
LOC105326420,41
LOC105326424,33
LOC105326423,113
LOC105326425,10
LOC105326426,694
LOC117682867,3
LOC105326427,602
LOC105326456,2504
LOC105326429,1319
LOC105326430,284
LOC105326431,3910
LOC105326432,2351
LOC105326457,43
LOC105337119,0
LOC105326433,49
LOC105326435,0
LOC105326436,2
LOC105326437,6
LOC105326439,9
LOC105326440,9
LOC105320483,7
LOC109619795,0
LOC105340021,10
LOC105340020,0
LOC105340019,0
LOC117691994,2
LOC105340018,25
LOC117692288,2
LOC105347997,0
LOC105347995,1
LOC105347993,0
LOC117683895,3
LOC117687083,27
LOC105331616,5
LOC105347990,0
LOC109621168,1
LOC117680311,4
LOC105323257,11
LOC105323256,0
LOC105323255,9382
LOC105323254,22081
LOC105323253,1
LOC109618019,5
LOC105323251,750
LOC105323250,48
LOC117680481,464
LOC105323249,11
LOC105323248,1019
LOC105323247,882
LOC105323246,1
LOC109618020,38
LOC105323245,150
LOC105323244,1095
LOC109619489,494
LOC105323243,155
LOC105323242,12
LOC105323241,5
LOC105323240,10
LOC105323239,59
LOC117682288,19
LOC105323290,3
LOC105323235,6
LOC105323233,486
LOC105323234,2072
LOC105323232,2594
LOC105323229,361
LOC117682364,3
LOC105323227,10732
LOC105323226,175
LOC105323225,1259
LOC105323223,1081
LOC117682404,0
LOC117682392,1
LOC117682405,692
LOC105323221,5482
LOC105323220,8695
LOC105323219,3165
LOC105323217,1916
LOC105323216,55
LOC105323215,14
LOC117682470,2
LOC117682472,115
LOC117682469,40
LOC105323214,9
LOC105323213,77
LOC105323212,0
LOC109617943,9
LOC105335743,465
LOC117684829,150
LOC117687183,3
LOC109620475,14
LOC109620474,2
LOC105342485,52
LOC105345080,315
LOC105342484,1917
LOC105342483,0
LOC105342481,39
LOC117684855,14
LOC117684858,12
LOC105322226,199
LOC105345571,1
LOC105319020,80
LOC117680370,15596
LOC105319012,812
LOC105319272,14
LOC105319006,916
LOC105318987,255
LOC105318976,1102
LOC105318939,14483
LOC105318930,118
LOC105318923,8608
LOC105319267,602
LOC105318875,1790
LOC105318868,14
LOC105318860,169
LOC105318849,10
LOC105318841,8
LOC105318825,324
LOC109617424,0
LOC117684897,5
LOC109620184,1
LOC109618744,662
LOC105346926,675
LOC117684907,0
LOC117684908,0
LOC117687192,0
LOC105342026,780
LOC117690252,0
LOC105342027,407
LOC109620420,4
LOC105342022,13366
LOC105342021,95
LOC105342020,9954
LOC105342019,795
LOC105342018,31
LOC105342017,11
LOC105342016,39
LOC105342014,4431
LOC105342013,4334
LOC105342012,156
LOC105340508,1
LOC105340509,13
LOC109620264,10251
LOC105340512,9581
LOC105340513,10774
LOC105340515,34
LOC117687203,12115
LOC105340516,286
LOC105340518,1784
LOC105340523,1071
LOC105340522,1022
LOC105340521,12026
LOC105340524,3118
LOC105340525,459
LOC117691716,2
LOC105340526,250
LOC117680419,768
LOC105340527,604
LOC117692139,0
LOC105331897,0
LOC109617279,1
LOC105317484,1
LOC109617282,3
LOC105317485,54
LOC105317487,0
LOC105327170,0
LOC117692541,1
LOC105317489,2
LOC105317491,319
